Name,Sequence,Period,Year,Month,Type,Price
South Delridge,156,2009-03,2009,3,SFH,283400
South Delridge,157,2009-04,2009,4,SFH,279400
South Delridge,158,2009-05,2009,5,SFH,276400
South Delridge,159,2009-06,2009,6,SFH,274300
South Delridge,160,2009-07,2009,7,SFH,274300
South Delridge,161,2009-08,2009,8,SFH,274500
South Delridge,162,2009-09,2009,9,SFH,273900
South Delridge,163,2009-10,2009,10,SFH,273600
South Delridge,164,2009-11,2009,11,SFH,274100
South Delridge,165,2009-12,2009,12,SFH,270200
South Delridge,166,2010-01,2010,1,SFH,263400
South Delridge,167,2010-02,2010,2,SFH,258800
South Delridge,168,2010-03,2010,3,SFH,258300
South Delridge,169,2010-04,2010,4,SFH,258000
South Delridge,170,2010-05,2010,5,SFH,257000
South Delridge,171,2010-06,2010,6,SFH,255900
South Delridge,172,2010-07,2010,7,SFH,253200
South Delridge,173,2010-08,2010,8,SFH,248700
South Delridge,174,2010-09,2010,9,SFH,244300
South Delridge,175,2010-10,2010,10,SFH,240600
South Delridge,176,2010-11,2010,11,SFH,237000
South Delridge,177,2010-12,2010,12,SFH,235000
South Delridge,178,2011-01,2011,1,SFH,234000
South Delridge,179,2011-02,2011,2,SFH,232200
South Delridge,180,2011-03,2011,3,SFH,229800
South Delridge,181,2011-04,2011,4,SFH,226700
South Delridge,182,2011-05,2011,5,SFH,222200
South Delridge,183,2011-06,2011,6,SFH,216300
South Delridge,184,2011-07,2011,7,SFH,210400
South Delridge,185,2011-08,2011,8,SFH,204700
South Delridge,186,2011-09,2011,9,SFH,200700
South Delridge,187,2011-10,2011,10,SFH,198200
South Delridge,188,2011-11,2011,11,SFH,197900
South Delridge,189,2011-12,2011,12,SFH,198700
South Delridge,190,2012-01,2012,1,SFH,200200
South Delridge,191,2012-02,2012,2,SFH,200800
South Delridge,192,2012-03,2012,3,SFH,201200
South Delridge,193,2012-04,2012,4,SFH,201800
South Delridge,194,2012-05,2012,5,SFH,205100
South Delridge,195,2012-06,2012,6,SFH,209800
South Delridge,196,2012-07,2012,7,SFH,213200
South Delridge,197,2012-08,2012,8,SFH,216600
South Delridge,198,2012-09,2012,9,SFH,222000
South Delridge,199,2012-10,2012,10,SFH,228000
South Delridge,200,2012-11,2012,11,SFH,231000
South Delridge,201,2012-12,2012,12,SFH,232000
South Delridge,202,2013-01,2013,1,SFH,232600
South Delridge,203,2013-02,2013,2,SFH,234700
South Delridge,204,2013-03,2013,3,SFH,237000
South Delridge,205,2013-04,2013,4,SFH,239300
South Delridge,206,2013-05,2013,5,SFH,241300
South Delridge,207,2013-06,2013,6,SFH,244400
South Delridge,208,2013-07,2013,7,SFH,246800
South Delridge,209,2013-08,2013,8,SFH,247600
South Delridge,210,2013-09,2013,9,SFH,247000
South Delridge,211,2013-10,2013,10,SFH,248700
South Delridge,212,2013-11,2013,11,SFH,252700
South Delridge,213,2013-12,2013,12,SFH,256800
South Delridge,214,2014-01,2014,1,SFH,258800
South Delridge,215,2014-02,2014,2,SFH,261000
South Delridge,216,2014-03,2014,3,SFH,264300
South Delridge,217,2014-04,2014,4,SFH,266300
South Delridge,218,2014-05,2014,5,SFH,265800
South Delridge,219,2014-06,2014,6,SFH,265400
South Delridge,220,2014-07,2014,7,SFH,268900
South Delridge,221,2014-08,2014,8,SFH,274400
South Delridge,222,2014-09,2014,9,SFH,279300
South Delridge,223,2014-10,2014,10,SFH,281300
South Delridge,224,2014-11,2014,11,SFH,282500
South Delridge,225,2014-12,2014,12,SFH,283600
South Delridge,226,2015-01,2015,1,SFH,286700
South Delridge,227,2015-02,2015,2,SFH,290700
South Delridge,228,2015-03,2015,3,SFH,295100
South Delridge,229,2015-04,2015,4,SFH,301200
South Delridge,230,2015-05,2015,5,SFH,310100
South Delridge,231,2015-06,2015,6,SFH,316600
South Delridge,232,2015-07,2015,7,SFH,321400
South Delridge,233,2015-08,2015,8,SFH,326200
South Delridge,234,2015-09,2015,9,SFH,330100
South Delridge,235,2015-10,2015,10,SFH,331000
South Delridge,236,2015-11,2015,11,SFH,332400
South Delridge,237,2015-12,2015,12,SFH,335900
South Delridge,238,2016-01,2016,1,SFH,340500
South Delridge,239,2016-02,2016,2,SFH,345600
South Delridge,240,2016-03,2016,3,SFH,352800
South Delridge,241,2016-04,2016,4,SFH,362000
South Delridge,242,2016-05,2016,5,SFH,367300
South Delridge,243,2016-06,2016,6,SFH,371300
South Delridge,244,2016-07,2016,7,SFH,375900
South Delridge,245,2016-08,2016,8,SFH,379800
South Delridge,246,2016-09,2016,9,SFH,381800
South Delridge,247,2016-10,2016,10,SFH,384600
South Delridge,248,2016-11,2016,11,SFH,387500
South Delridge,249,2016-12,2016,12,SFH,393200
South Delridge,250,2017-01,2017,1,SFH,399800
South Delridge,251,2017-02,2017,2,SFH,404900
South Delridge,252,2017-03,2017,3,SFH,408200
Sunset Hill,1,1996-04,1996,4,SFH,200400
Sunset Hill,2,1996-05,1996,5,SFH,197700
Sunset Hill,3,1996-06,1996,6,SFH,196300
Sunset Hill,4,1996-07,1996,7,SFH,194900
Sunset Hill,5,1996-08,1996,8,SFH,193800
Sunset Hill,6,1996-09,1996,9,SFH,194400
Sunset Hill,7,1996-10,1996,10,SFH,196200
Sunset Hill,8,1996-11,1996,11,SFH,198300
Sunset Hill,9,1996-12,1996,12,SFH,201100
Sunset Hill,10,1997-01,1997,1,SFH,203900
Sunset Hill,11,1997-02,1997,2,SFH,206100
Sunset Hill,12,1997-03,1997,3,SFH,208500
Sunset Hill,13,1997-04,1997,4,SFH,211100
Sunset Hill,14,1997-05,1997,5,SFH,212700
Sunset Hill,15,1997-06,1997,6,SFH,213900
Sunset Hill,16,1997-07,1997,7,SFH,216000
Sunset Hill,17,1997-08,1997,8,SFH,218600
Sunset Hill,18,1997-09,1997,9,SFH,220300
Sunset Hill,19,1997-10,1997,10,SFH,221000
Sunset Hill,20,1997-11,1997,11,SFH,222900
Sunset Hill,21,1997-12,1997,12,SFH,225900
Sunset Hill,22,1998-01,1998,1,SFH,228000
Sunset Hill,23,1998-02,1998,2,SFH,229600
Sunset Hill,24,1998-03,1998,3,SFH,232000
Sunset Hill,25,1998-04,1998,4,SFH,234300
Sunset Hill,26,1998-05,1998,5,SFH,235900
Sunset Hill,27,1998-06,1998,6,SFH,238600
Sunset Hill,28,1998-07,1998,7,SFH,242300
Sunset Hill,29,1998-08,1998,8,SFH,246400
Sunset Hill,30,1998-09,1998,9,SFH,250700
Sunset Hill,31,1998-10,1998,10,SFH,253700
Sunset Hill,32,1998-11,1998,11,SFH,254500
Sunset Hill,33,1998-12,1998,12,SFH,255100
Sunset Hill,34,1999-01,1999,1,SFH,256300
Sunset Hill,35,1999-02,1999,2,SFH,258800
Sunset Hill,36,1999-03,1999,3,SFH,262200
Sunset Hill,37,1999-04,1999,4,SFH,266400
Sunset Hill,38,1999-05,1999,5,SFH,270600
Sunset Hill,39,1999-06,1999,6,SFH,275600
Sunset Hill,40,1999-07,1999,7,SFH,279000
Sunset Hill,41,1999-08,1999,8,SFH,281300
Sunset Hill,42,1999-09,1999,9,SFH,283700
Sunset Hill,43,1999-10,1999,10,SFH,287500
Sunset Hill,44,1999-11,1999,11,SFH,292100
Sunset Hill,45,1999-12,1999,12,SFH,297500
Sunset Hill,46,2000-01,2000,1,SFH,301900
Sunset Hill,47,2000-02,2000,2,SFH,304700
Sunset Hill,48,2000-03,2000,3,SFH,307300
Sunset Hill,49,2000-04,2000,4,SFH,312500
Sunset Hill,50,2000-05,2000,5,SFH,318200
Sunset Hill,51,2000-06,2000,6,SFH,322300
Sunset Hill,52,2000-07,2000,7,SFH,325600
Sunset Hill,53,2000-08,2000,8,SFH,327700
Sunset Hill,54,2000-09,2000,9,SFH,327400
Sunset Hill,55,2000-10,2000,10,SFH,326400
Sunset Hill,56,2000-11,2000,11,SFH,325400
Sunset Hill,57,2000-12,2000,12,SFH,324300
Sunset Hill,58,2001-01,2001,1,SFH,324400
Sunset Hill,59,2001-02,2001,2,SFH,325000
Sunset Hill,60,2001-03,2001,3,SFH,326500
Sunset Hill,61,2001-04,2001,4,SFH,327900
Sunset Hill,62,2001-05,2001,5,SFH,329700
Sunset Hill,63,2001-06,2001,6,SFH,331200
Sunset Hill,64,2001-07,2001,7,SFH,332900
Sunset Hill,65,2001-08,2001,8,SFH,333800
Sunset Hill,66,2001-09,2001,9,SFH,334400
Sunset Hill,67,2001-10,2001,10,SFH,335100
Sunset Hill,68,2001-11,2001,11,SFH,336800
Sunset Hill,69,2001-12,2001,12,SFH,336700
Sunset Hill,70,2002-01,2002,1,SFH,334900
Sunset Hill,71,2002-02,2002,2,SFH,334300
Sunset Hill,72,2002-03,2002,3,SFH,335300
Sunset Hill,73,2002-04,2002,4,SFH,336800
Sunset Hill,74,2002-05,2002,5,SFH,339900
Sunset Hill,75,2002-06,2002,6,SFH,343500
Sunset Hill,76,2002-07,2002,7,SFH,345800
Sunset Hill,77,2002-08,2002,8,SFH,347000
Sunset Hill,78,2002-09,2002,9,SFH,350200
Sunset Hill,79,2002-10,2002,10,SFH,356000
Sunset Hill,80,2002-11,2002,11,SFH,360800
Sunset Hill,81,2002-12,2002,12,SFH,363600
Sunset Hill,82,2003-01,2003,1,SFH,366400
Sunset Hill,83,2003-02,2003,2,SFH,370800
Sunset Hill,84,2003-03,2003,3,SFH,373900
Sunset Hill,85,2003-04,2003,4,SFH,375800
Sunset Hill,86,2003-05,2003,5,SFH,377500
Sunset Hill,87,2003-06,2003,6,SFH,379100
Sunset Hill,88,2003-07,2003,7,SFH,380500
Sunset Hill,89,2003-08,2003,8,SFH,381300
Sunset Hill,90,2003-09,2003,9,SFH,380700
Sunset Hill,91,2003-10,2003,10,SFH,380400
Sunset Hill,92,2003-11,2003,11,SFH,383000
Sunset Hill,93,2003-12,2003,12,SFH,387200
Sunset Hill,94,2004-01,2004,1,SFH,392300
Sunset Hill,95,2004-02,2004,2,SFH,397000
Sunset Hill,96,2004-03,2004,3,SFH,401100
Sunset Hill,97,2004-04,2004,4,SFH,404100
Sunset Hill,98,2004-05,2004,5,SFH,406300
Sunset Hill,99,2004-06,2004,6,SFH,409100
Sunset Hill,100,2004-07,2004,7,SFH,413500
Sunset Hill,101,2004-08,2004,8,SFH,419100
Sunset Hill,102,2004-09,2004,9,SFH,424800
Sunset Hill,103,2004-10,2004,10,SFH,429500
Sunset Hill,104,2004-11,2004,11,SFH,434100
Sunset Hill,105,2004-12,2004,12,SFH,439800
Sunset Hill,106,2005-01,2005,1,SFH,445200
Sunset Hill,107,2005-02,2005,2,SFH,449700
Sunset Hill,108,2005-03,2005,3,SFH,455600
Sunset Hill,109,2005-04,2005,4,SFH,461400
Sunset Hill,110,2005-05,2005,5,SFH,464900
Sunset Hill,111,2005-06,2005,6,SFH,465700
Sunset Hill,112,2005-07,2005,7,SFH,467200
Sunset Hill,113,2005-08,2005,8,SFH,473000
Sunset Hill,114,2005-09,2005,9,SFH,482400
Sunset Hill,115,2005-10,2005,10,SFH,490100
Sunset Hill,116,2005-11,2005,11,SFH,494600
Sunset Hill,117,2005-12,2005,12,SFH,498900
Sunset Hill,118,2006-01,2006,1,SFH,503100
Sunset Hill,119,2006-02,2006,2,SFH,506100
Sunset Hill,120,2006-03,2006,3,SFH,508600
Sunset Hill,121,2006-04,2006,4,SFH,512600
Sunset Hill,122,2006-05,2006,5,SFH,518000
Sunset Hill,123,2006-06,2006,6,SFH,525400
Sunset Hill,124,2006-07,2006,7,SFH,534700
Sunset Hill,125,2006-08,2006,8,SFH,543200
Sunset Hill,126,2006-09,2006,9,SFH,549100
Sunset Hill,127,2006-10,2006,10,SFH,552900
Sunset Hill,128,2006-11,2006,11,SFH,555800
Sunset Hill,129,2006-12,2006,12,SFH,558900
Sunset Hill,130,2007-01,2007,1,SFH,562200
Sunset Hill,131,2007-02,2007,2,SFH,566200
Sunset Hill,132,2007-03,2007,3,SFH,570500
Sunset Hill,133,2007-04,2007,4,SFH,575600
Sunset Hill,134,2007-05,2007,5,SFH,579400
Sunset Hill,135,2007-06,2007,6,SFH,582000
Sunset Hill,136,2007-07,2007,7,SFH,582900
Sunset Hill,137,2007-08,2007,8,SFH,582900
Sunset Hill,138,2007-09,2007,9,SFH,580600
Sunset Hill,139,2007-10,2007,10,SFH,578900
Sunset Hill,140,2007-11,2007,11,SFH,577800
Sunset Hill,141,2007-12,2007,12,SFH,577500
Sunset Hill,142,2008-01,2008,1,SFH,577100
Sunset Hill,143,2008-02,2008,2,SFH,576800
Sunset Hill,144,2008-03,2008,3,SFH,576100
Sunset Hill,145,2008-04,2008,4,SFH,573400
Sunset Hill,146,2008-05,2008,5,SFH,568800
Sunset Hill,147,2008-06,2008,6,SFH,564400
Sunset Hill,148,2008-07,2008,7,SFH,559500
Sunset Hill,149,2008-08,2008,8,SFH,553300
Sunset Hill,150,2008-09,2008,9,SFH,548200
Sunset Hill,151,2008-10,2008,10,SFH,542900
Sunset Hill,152,2008-11,2008,11,SFH,536600
Sunset Hill,153,2008-12,2008,12,SFH,529500
Sunset Hill,154,2009-01,2009,1,SFH,522900
Sunset Hill,155,2009-02,2009,2,SFH,516300
Sunset Hill,156,2009-03,2009,3,SFH,510100
Sunset Hill,157,2009-04,2009,4,SFH,503200
Sunset Hill,158,2009-05,2009,5,SFH,496900
Sunset Hill,159,2009-06,2009,6,SFH,493200
Sunset Hill,160,2009-07,2009,7,SFH,492700
Sunset Hill,161,2009-08,2009,8,SFH,492100
Sunset Hill,162,2009-09,2009,9,SFH,491100
Sunset Hill,163,2009-10,2009,10,SFH,490400
Sunset Hill,164,2009-11,2009,11,SFH,490500
Sunset Hill,165,2009-12,2009,12,SFH,492200
Sunset Hill,166,2010-01,2010,1,SFH,493500
Sunset Hill,167,2010-02,2010,2,SFH,490600
Sunset Hill,168,2010-03,2010,3,SFH,483100
Sunset Hill,169,2010-04,2010,4,SFH,477100
Sunset Hill,170,2010-05,2010,5,SFH,477200
Sunset Hill,171,2010-06,2010,6,SFH,478100
Sunset Hill,172,2010-07,2010,7,SFH,474100
Sunset Hill,173,2010-08,2010,8,SFH,468000
Sunset Hill,174,2010-09,2010,9,SFH,464500
Sunset Hill,175,2010-10,2010,10,SFH,464200
Sunset Hill,176,2010-11,2010,11,SFH,463800
Sunset Hill,177,2010-12,2010,12,SFH,460300
Sunset Hill,178,2011-01,2011,1,SFH,456900
Sunset Hill,179,2011-02,2011,2,SFH,457200
Sunset Hill,180,2011-03,2011,3,SFH,457600
Sunset Hill,181,2011-04,2011,4,SFH,454500
Sunset Hill,182,2011-05,2011,5,SFH,450200
Sunset Hill,183,2011-06,2011,6,SFH,448900
Sunset Hill,184,2011-07,2011,7,SFH,451100
Sunset Hill,185,2011-08,2011,8,SFH,456500
Sunset Hill,186,2011-09,2011,9,SFH,460300
Sunset Hill,187,2011-10,2011,10,SFH,460800
Sunset Hill,188,2011-11,2011,11,SFH,461000
Sunset Hill,189,2011-12,2011,12,SFH,461500
Sunset Hill,190,2012-01,2012,1,SFH,462800
Sunset Hill,191,2012-02,2012,2,SFH,465600
Sunset Hill,192,2012-03,2012,3,SFH,472800
Sunset Hill,193,2012-04,2012,4,SFH,483300
Sunset Hill,194,2012-05,2012,5,SFH,491500
Sunset Hill,195,2012-06,2012,6,SFH,494200
Sunset Hill,196,2012-07,2012,7,SFH,497400
Sunset Hill,197,2012-08,2012,8,SFH,501400
Sunset Hill,198,2012-09,2012,9,SFH,503200
Sunset Hill,199,2012-10,2012,10,SFH,504200
Sunset Hill,200,2012-11,2012,11,SFH,509700
Sunset Hill,201,2012-12,2012,12,SFH,518200
Sunset Hill,202,2013-01,2013,1,SFH,525900
Sunset Hill,203,2013-02,2013,2,SFH,531200
Sunset Hill,204,2013-03,2013,3,SFH,536800
Sunset Hill,205,2013-04,2013,4,SFH,545000
Sunset Hill,206,2013-05,2013,5,SFH,552800
Sunset Hill,207,2013-06,2013,6,SFH,555500
Sunset Hill,208,2013-07,2013,7,SFH,554000
Sunset Hill,209,2013-08,2013,8,SFH,552500
Sunset Hill,210,2013-09,2013,9,SFH,553200
Sunset Hill,211,2013-10,2013,10,SFH,556900
Sunset Hill,212,2013-11,2013,11,SFH,560800
Sunset Hill,213,2013-12,2013,12,SFH,566000
Sunset Hill,214,2014-01,2014,1,SFH,572600
Sunset Hill,215,2014-02,2014,2,SFH,579600
Sunset Hill,216,2014-03,2014,3,SFH,583100
